domain,capability,weight,gitea_1_26_4_behavior,ironforge_behavior,code_evidence,test_evidence,status,earned_score,task_id,next_acceptance
Git 协议,Git V1 clone/fetch/push,7,"HTTP/SSH 支持 clone、fetch、push","HTTP/SSH 的真实 Git 客户端 clone/fetch/push 已进入主 CI","crates/rg-git/src/protocol/upload_pack.rs;crates/rg-git/src/protocol/receive_pack.rs;crates/rg-http/src/lib.rs;crates/rg-ssh/src/lib.rs","scripts/git-protocol-e2e.sh;.github/workflows/regression.yml::git-protocol",DONE,7,-,"保持真实客户端回归"
Git 协议,Git Protocol V2 基础命令,2,"支持 ls-refs、fetch 与 capability 协商","ls-refs/fetch/object-info 已实现；HTTP/SSH V2 clone/fetch、shallow 与 filter 由真实 Git 客户端覆盖","crates/rg-git/src/protocol/v2.rs;crates/rg-http/src/git_v2.rs;crates/rg-http/src/lib.rs","cargo test -p rg-git protocol::v2 --lib;scripts/git-protocol-e2e.sh;.github/workflows/regression.yml::git-protocol",DONE,2,-,"保持 capability 与 section 顺序回归"
Git 协议,Shallow/deepen,0.75,"fetch 支持 shallow/deepen 语义","支持 depth、deepen-relative、unshallow、deepen-since/deepen-not，发送 shallow-info 并按边界生成 pack","crates/rg-git/src/protocol/v2.rs::ShallowRequest;crates/rg-git/src/protocol/v2.rs::build_shallow_update;crates/rg-git/src/protocol/v2.rs::generate_packfile","cargo test -p rg-git protocol::v2 --lib;scripts/git-protocol-e2e.sh depth/deepen/unshallow/shallow-exclude/shallow-since",DONE,0.75,-,"保持 HTTP/SSH 真实客户端回归和大历史性能观察"
Git 协议,Partial clone/filter,0.75,"支持 blob/tree 等 clone filter","filter 进入 pack-objects 对象选择并广告；HTTP blob:none 与 SSH tree:0 的 promisor lazy fetch 闭环通过","crates/rg-git/src/protocol/v2.rs::handle_fetch;crates/rg-git/src/protocol/v2.rs::generate_packfile","scripts/git-protocol-e2e.sh blob:none/tree:0 missing-object and lazy-fetch assertions",DONE,0.75,-,"保持更多 filter-spec 与大仓库回归"
Git 协议,HTTP/SSH 与 V1/V2 兼容矩阵,0.75,"主要 transport/protocol 组合有回归覆盖","12 场景真实 Git 客户端矩阵覆盖 HTTP/SSH、V1/V2、clone/fetch/push、shallow/deepen 与 partial clone","scripts/git-protocol-e2e.sh;.github/workflows/regression.yml","scripts/git-protocol-e2e.sh",DONE,0.75,-,"扩展大仓库和异常 filter 场景"
Git 协议,大仓库性能基线,0.75,"大仓库 clone/fetch/push 有成熟性能边界","尚无固定数据集、阈值和回归报告","无","无",MISSING,0,PERF-001,"固定数据集与阈值进入 CI/周期任务"
仓库管理,CRUD/Fork/Transfer/Star/Watch/Release,5,"完整仓库生命周期与发布管理","后端、REST 与主要 Web 路径已闭环","crates/rg-core/src/repo/service.rs;crates/rg-core/src/release/service.rs;crates/rg-http/src/api/repos.rs;crates/rg-http/src/api/releases.rs","crates/rg-http/tests/api_tests.rs;crates/rg-http/tests/release_tests.rs",DONE,5,-,"保持回归"
仓库管理,代码浏览与内容编辑,2,"Tree/Blob/Log/Blame/Go to file/目录操作","Tree/Blob/Log/文件编辑已有；缺 Blame、Go to file 和目录删除","crates/rg-http/src/api/repo_content.rs;web/src/routes/[owner]/[repo]/blob/[...path]/+page.svelte","scripts/repo-content-editor-contract-check.mjs",PARTIAL,1,REPO-104,"三个 Web 闭环及浏览器 E2E"
仓库管理,Pull Mirror,1,"可从远端定时和手动拉取镜像","Pull Mirror API、服务与设置页已实现","crates/rg-core/src/mirror/service.rs;crates/rg-http/src/api/mirrors.rs;web/src/routes/[owner]/[repo]/settings/mirror/+page.svelte","scripts/mirror-settings-contract-check.mjs",DONE,1,-,"保持真实远端回归"
仓库管理,Push Mirror,1,"多目标推送镜像并支持凭证、定时和 push 触发","仅有 Pull Mirror；无 Push Mirror 数据模型和执行路径","crates/rg-core/src/mirror/service.rs","无",MISSING,0,REPO-101,"多目标、凭证加密和真实远端回归"
仓库管理,upload-archive/git archive --remote,0.5,"通过 Git RPC 远程生成归档","只有 REST zip/tar.gz 下载；不支持 upload-archive RPC","crates/rg-http/src/api/archive.rs","无",MISSING,0,REPO-102,"HTTP/SSH 权限与真实 git archive --remote 回归"
仓库管理,Template Repository,1,"从模板生成仓库并复制可选元数据","只有新仓库初始化模板；没有模板仓库模型","crates/rg-core/src/repo/service.rs;web/src/routes/dashboard/+page.svelte","无",MISSING,0,REPO-103,"内容、分支、Issue/标签复制闭环"
仓库管理,Release Notes/OpenAPI 渲染,0.5,"自动 Release Notes 与仓库 OpenAPI 安全渲染","Release CRUD 已有；两项增强均未实现","crates/rg-core/src/release/service.rs","无",MISSING,0,"REPO-105;REPO-106","安全渲染与按 PR/作者/标签生成说明"
仓库管理,协作者/Deploy Key/分支与 Tag 保护,1,"仓库级协作者、Key 与保护规则","已实现并覆盖权限测试","crates/rg-core/src/collaborator/service.rs;crates/rg-core/src/branch_protection/service.rs;crates/rg-http/src/api/deploy_keys.rs","crates/rg-http/tests/collaborator_tests.rs;crates/rg-http/tests/deploy_key_tests.rs;crates/rg-http/tests/ci_secrets_tag_protection_tests.rs",DONE,1,-,"保持权限回归"
Issue/PR/Wiki,Issue CRUD/评论/Label/Milestone,4,"完整 Issue 协作基础","后端、API 与 Web 主路径已实现","crates/rg-core/src/issue/service.rs;crates/rg-http/src/api/issues.rs;web/src/routes/[owner]/[repo]/issues","crates/rg-http/tests/issue_tests.rs",DONE,4,-,"保持权限与 IDOR 回归"
Issue/PR/Wiki,PR Diff/Merge/Review,4,"PR 创建、Diff、多策略合并和审查","主流程已实现，含 review thread 与事件流","crates/rg-core/src/pull_request/service.rs;crates/rg-core/src/review/service.rs;crates/rg-http/src/api/pulls.rs;crates/rg-http/src/api/reviews.rs","crates/rg-http/tests/pr_permission_tests.rs;crates/rg-http/tests/pr_merge_strategy_tests.rs",DONE,4,-,"保持真实仓库回归"
Issue/PR/Wiki,分支保护/Merge Queue/CODEOWNERS,2.5,"保护规则、必需检查与合并队列","已实现并覆盖合成提交 CI 与权限路径","crates/rg-core/src/branch_protection/service.rs;crates/rg-core/src/pull_request/merge_queue.rs;crates/rg-core/src/review/codeowners.rs","crates/rg-http/tests/merge_queue_ci_tests.rs;crates/rg-http/tests/pr_permission_tests.rs",DONE,2.5,-,"保持回归"
Issue/PR/Wiki,Wiki Markdown/TOC/历史,1.5,"Wiki 编辑、渲染、版本历史和 Diff","API 与 Web 历史页面已实现","crates/rg-core/src/wiki/service.rs;crates/rg-http/src/api/wiki.rs;web/src/routes/[owner]/[repo]/wiki","crates/rg-http/tests/wiki_tests.rs",DONE,1.5,-,"保持跨数据库回归"
